Name,Organization,K/D Ratio
EdudZ,100J,0.77
tie,sqn,0.75
Furzaan,FIU,0.79
zerocap,sqn,0.74
Eren,NTER,0.90
Yum07,Team,0.81
bonkar,bonk,0.77
Flippsy,QoR,0.74
DBK,VRT,0.83
Rest,TFT,0.80
WiLD,RILL,0.75
cactuzio,NSR,0.75
Pain,IluZ,0.91
cawn,,0.86
Amaterasu,VLT,0.79
KappA,GES,0.78
TheAuri,ANO,0.76
skillZ,GES,0.82
Kmlord,Lion,0.76
ind1n,puGG,0.85
snxper,VRT,0.75
Druff,,0.71
hfmi0dzjc9z7,,0.84
redo,TM.B,0.85
Atake,RF,0.77
hyjinx,TKA,0.84
YHchen,,0.80
Fragger,EX0,0.78
br9dy,IluZ,0.78
Bully,eM,0.81
Trepenn,UP,0.74
Kenji,,0.79
empty,,0.76
ANGE1,NAVI,0.73
Isaac,,0.77
felix,,0.76
SexyChristian,Divi,0.65
PapaSmurf,VEXO,0.68
Stokesy,eM,0.73
Waffle,FIU,0.73
x0tek,MAD.SC,0.72
BONECOLD,VIT,0.81
snarly,,0.76
Destrian,VIT,0.61
Kurama,FG,0.64
Nurfed,OXGA,0.63
HellrangeR,GES,0.67
reece,Rose,0.64
Fearozen,Neve,0.75
Gio,IluZ,0.68
yngty,TAMU,0.63
monk,,0.68
Imposter,Hype,0.69
Jacket,,0.68
CurryASD,,0.54
chqse,Team,0.54
